,City,Lat,Lon,Temp,Humidity,Clouds
131,puerto ayora,-0.74,-90.35,20.56,93,74
132,las vegas,36.17,-115.14,33.17,9,1
133,brits,-25.63,27.78,5.31,86,0
134,bandarbeyla,9.49,50.81,28.12,61,100
135,mahon,39.89,4.27,20.0,88,0
136,cidreira,-30.18,-50.21,17.56,89,30
137,xining,36.62,101.77,17.68,45,43
138,phalaborwa,-23.94,31.14,11.0,87,92
139,provideniya,64.38,-173.3,13.0,66,7
140,rosita,13.93,-84.4,23.91,96,100
141,suntar,62.14,117.63,11.45,94,100
142,ixtapa,20.7,-105.2,27.61,69,20
143,san cristobal,7.77,-72.22,19.24,92,18
144,port elizabeth,-33.92,25.57,9.0,81,0
145,chokurdakh,70.63,147.92,30.1,23,1
146,cabo san lucas,22.89,-109.91,31.66,24,40
147,road town,18.42,-64.62,27.59,84,0
148,bonthe,7.53,-12.51,26.05,85,40
149,kijang,35.24,129.21,19.0,88,90
150,tasiilaq,65.61,-37.64,4.0,80,100
151,nome,64.5,-165.41,21.17,52,40
152,payo,-3.75,103.64,27.87,70,87
153,anadyr,64.75,177.48,19.0,48,20
154,carbondale,37.73,-89.22,24.69,47,1
155,baykit,61.67,96.37,19.03,39,77
156,guerrero negro,27.98,-114.06,18.79,75,0
157,ponta do sol,32.67,-17.1,17.34,82,20
158,krasnoselkup,65.7,82.47,8.72,51,100
159,port alfred,-33.59,26.89,11.11,80,0
160,kodiak,57.79,-152.41,11.0,87,90
161,dwarka,22.24,68.97,29.6,78,59
162,touros,-5.2,-35.46,23.0,88,11
163,hamilton,39.18,-84.53,23.26,50,1
164,cooma,-36.23,149.13,10.0,61,0
165,constitucion,-35.33,-72.42,12.23,84,100
166,diamantino,-14.41,-56.45,21.48,62,0
167,sorland,67.67,12.69,10.09,79,9
168,dunedin,-45.87,170.5,8.33,63,28
169,ushtobe,45.25,77.98,19.14,47,0
170,cerritos,33.86,-118.06,20.81,56,1
171,chicama,-7.84,-79.15,18.36,80,8
172,bud,39.45,-86.18,23.64,41,1
173,pontes e lacerda,-15.23,-59.34,22.1,76,2
174,kortessem,50.86,5.39,14.63,87,100
175,thompson,55.74,-97.86,5.0,93,90
176,sinnar,13.57,33.57,29.28,55,83
177,boa vista,2.82,-60.67,27.0,78,40
178,suraia,45.68,27.4,17.07,87,59
179,yako,12.97,-2.27,30.15,50,7
180,mahebourg,-20.41,57.7,21.0,83,75
181,faanui,-16.48,-151.75,27.68,73,97
182,arraial do cabo,-22.97,-42.03,18.0,93,40
183,kuchaman,27.15,74.85,32.92,46,0
184,sarahan,31.52,77.8,19.99,32,0
185,soyo,-6.13,12.37,22.07,91,37
186,harer,9.31,42.13,15.62,90,96
187,dolores,-36.31,-57.68,19.51,92,100
188,isangel,-19.55,169.27,27.0,65,40
189,borovoy,55.43,86.08,16.0,63,99
190,jonesboro,35.84,-90.7,26.19,51,20
191,bagdarin,54.43,113.6,19.64,37,0
192,neuquen,-38.95,-68.06,7.0,70,19
193,piacabucu,-10.41,-36.43,23.93,83,0
194,clyde river,70.47,-68.59,1.0,87,90
195,sinnamary,5.38,-52.95,25.8,85,100
196,pangoa,-12.12,-73.0,20.62,85,70
197,bend,44.06,-121.32,19.22,39,6
198,gemena,3.25,19.77,21.83,95,100
199,jiuquan,39.74,98.52,29.1,14,61
200,camacha,33.08,-16.33,17.0,93,20
201,antofagasta,-23.65,-70.4,15.0,87,52
202,gravdal,68.12,13.5,10.22,75,54
203,kamenka,51.32,42.77,15.84,78,0
204,longyearbyen,78.22,15.64,4.0,76,75
